-33400,14975,-0.0069818,-0.0062465
-35165,15731,-0.0073112,-0.0069613
-36829,16447,-0.007612,-0.0077077
-38368,17115,-0.0078774,-0.0084825
-39756,17727,-0.0081005,-0.0092818
-40970,18272,-0.0082744,-0.010101
-41984,18744,-0.008392,-0.010935
-42776,19132,-0.0084466,-0.011777
-43326,19430,-0.0084318,-0.012622
-43612,19629,-0.0083416,-0.013461
-43618,19722,-0.0081708,-0.014287
-43328,19700,-0.0079148,-0.015092
-42727,19558,-0.00757,-0.015867
-41806,19290,-0.0071335,-0.016603
-40556,18888,-0.0066039,-0.017291
-38969,18350,-0.0059805,-0.017921
-37041,17670,-0.0052639,-0.018484
-34770,16845,-0.0044557,-0.018971
-32155,15872,-0.0035585,-0.019373
-29197,14749,-0.0025763,-0.01968
-25900,13475,-0.0015136,-0.019885
-22266,12050,-0.00037606,-0.019981
-18302,10475,0.00083003,-0.019959
-14015,8749.7,0.0020977,-0.019813
-9412.6,6877.8,0.0034193,-0.019537
-4505.3,4862.3,0.004787,-0.019128
695.63,2707.5,0.0061922,-0.018579
6176.9,418.59,0.0076265,-0.017889
11923,-1998.3,0.0090809,-0.017053
17918,-4535.8,0.010546,-0.016072
24142,-7185.9,0.012014,-0.014944
30572,-9939.5,0.013475,-0.01367
37187,-12786,0.014919,-0.01225
43958,-15715,0.016338,-0.010687
50858,-18714,0.017722,-0.0089841
57855,-21771,0.019063,-0.0071445
64917,-24871,0.020351,-0.0051735
72010,-28001,0.021576,-0.0030767
79096,-31144,0.022731,-0.00086077
86139,-34287,0.023806,0.0014667
93101,-37412,0.024792,0.0038973
99942,-40502,0.025682,0.0064218
1.0663e+05,-43542,0.026466,0.0090301
1.1311e+05,-46514,0.027139,0.011711
1.1937e+05,-49401,0.027691,0.014454
1.2535e+05,-52185,0.028118,0.017245
1.3102e+05,-54849,0.028413,0.020073
1.3636e+05,-57376,0.02857,0.022923
1.4132e+05,-59750,0.028587,0.025782
1.4588e+05,-61954,0.02846,0.028636
1.5001e+05,-63972,0.028186,0.03147
1.5368e+05,-65787,0.027763,0.034269
1.5686e+05,-67385,0.027193,0.037018
1.5952e+05,-68751,0.026474,0.039702
1.6165e+05,-69872,0.025609,0.042308
1.6322e+05,-70733,0.0246,0.04482
1.6421e+05,-71322,0.023449,0.047224
1.646e+05,-71628,0.02216,0.049505
1.6437e+05,-71639,0.020738,0.051652
1.6349e+05,-71346,0.019187,0.053649
1.6196e+05,-70740,0.017512,0.055485
1.5974e+05,-69813,0.01572,0.057148
1.5684e+05,-68557,0.013814,0.058626
1.5322e+05,-66969,0.011802,0.059908
1.4888e+05,-65043,0.0096881,0.060984
1.438e+05,-62776,0.0074791,0.061843
1.3797e+05,-60168,0.0051806,0.062477
1.3137e+05,-57218,0.002798,0.062877
1.2401e+05,-53927,0.00033717,0.063035
1.1587e+05,-50300,-0.0021964,0.062943
1.0695e+05,-46340,-0.0047972,0.062594
97259,-42055,-0.0074594,0.061982
