64039,-28355,0.018317,0.0017346
69404,-30761,0.019431,0.0036226
74592,-33096,0.020449,0.0056174
79552,-35341,0.021355,0.0077084
84233,-37473,0.022135,0.0098839
88585,-39469,0.022776,0.012131
92559,-41308,0.023264,0.014434
96106,-42969,0.023588,0.016778
99180,-44430,0.023737,0.019146
1.0174e+05,-45670,0.0237,0.021519
1.0374e+05,-46671,0.02347,0.023879
1.0515e+05,-47413,0.023039,0.026206
1.0594e+05,-47878,0.022403,0.02848
1.0607e+05,-48051,0.021559,0.03068
1.0552e+05,-47917,0.020505,0.032785
1.0427e+05,-47463,0.019242,0.034775
1.023e+05,-46677,0.017771,0.036627
99602,-45551,0.016099,0.038322
96164,-44076,0.01423,0.039841
91982,-42248,0.012174,0.041163
87055,-40064,0.0099399,0.04227
81386,-37522,0.0075393,0.043146
74981,-34624,0.0049854,0.043773
67850,-31375,0.0022921,0.044139
60007,-27781,-0.00052509,0.044228
51469,-23851,-0.0034499,0.044031
42256,-19596,-0.0064653,0.043536
32391,-15031,-0.0095535,0.042736
21903,-10172,-0.012696,0.041624
10822,-5037.4,-0.015875,0.040196
-815.21,349.68,-0.019072,0.038449
-12970,5965.6,-0.022267,0.036383
-25598,11784,-0.025441,0.033997
-38650,17775,-0.028576,0.031296
-52071,23908,-0.031652,0.028285
-65802,30149,-0.03465,0.024969
-79776,36462,-0.037552,0.021359
-93921,42810,-0.040337,0.017463
-1.0816e+05,49152,-0.042987,0.013296
-1.224e+05,55449,-0.045482,0.0088715
-1.3656e+05,61657,-0.047802,0.0042059
-1.5053e+05,67732,-0.049926,-0.00068199
-1.6421e+05,73630,-0.051833,-0.0057717
-1.7749e+05,79305,-0.053503,-0.01104
-1.9026e+05,84711,-0.054913,-0.016463
-2.024e+05,89804,-0.056043,-0.022014
-2.1378e+05,94538,-0.056869,-0.027662
-2.2429e+05,98868,-0.057371,-0.033377
-2.3381e+05,1.0275e+05,-0.057527,-0.039125
-2.4222e+05,1.0615e+05,-0.057317,-0.04487
-2.494e+05,1.0902e+05,-0.056721,-0.050576
-2.5524e+05,1.1133e+05,-0.05572,-0.056201
-2.5965e+05,1.1304e+05,-0.0543,-0.061706
-2.6253e+05,1.1413e+05,-0.052446,-0.067047
-2.638e+05,1.1456e+05,-0.050149,-0.072181
-2.6339e+05,1.1431e+05,-0.047399,-0.077063
-2.6124e+05,1.1338e+05,-0.044196,-0.081647
-2.5732e+05,1.1173e+05,-0.040539,-0.085888
-2.5159e+05,1.0938e+05,-0.036434,-0.089741
-2.4404e+05,1.063e+05,-0.031892,-0.093161
-2.3469e+05,1.025e+05,-0.026928,-0.096106
-2.2355e+05,98001,-0.021564,-0.098535
-2.1067e+05,92801,-0.015827,-0.10041
-1.961e+05,86922,-0.0097495,-0.10169
-1.7993e+05,80388,-0.0033683,-0.10235
-1.6224e+05,73227,0.0032731,-0.10236
-1.4315e+05,65473,0.010126,-0.10169
-1.2277e+05,57164,0.017139,-0.10033
-1.0126e+05,48344,0.024254,-0.09826
-78766,39060,0.03141,-0.095477
-55444,29364,0.038544,-0.09198
-31470,19310,0.045589,-0.087773
-7019.8,8956.1,0.052479,-0.082869
17726,-1637.2,0.059145,-0.077287
42588,-12408,0.06552,-0.071051
67389,-23292,0.071538,-0.064196
91955,-34226,0.077136,-0.056759
1.1612e+05,-45144,0.082253,-0.048786
1.3974e+05,-55983,0.086835,-0.040327
1.6267e+05,-66678,0.090832,-0.031439
1.8477e+05,-77168,0.094203,-0.022183
2.0595e+05,-87390,0.09691,-0.012622
2.2609e+05,-97288,0.098929,-0.0028241
2.4512e+05,-1.068e+05,0.10024,0.0071402
2.6298e+05,-1.1588e+05,0.10083,0.0172
2.7959e+05,-1.2447e+05,0.10071,0.027283
2.9493e+05,-1.3253e+05,0.099872,0.037318
3.0895e+05,-1.4e+05,0.098343,0.047235
3.2162e+05,-1.4684e+05,0.096145,0.056965
3.3292e+05,-1.5302e+05,0.093308,0.066443
3.4283e+05,-1.5849e+05,0.08987,0.075608
3.5132e+05,-1.6322e+05,0.085872,0.0844
3.5837e+05,-1.6718e+05,0.081361,0.092767
3.6395e+05,-1.7035e+05,0.076384,0.10066
3.6805e+05,-1.7268e+05,0.070991,0.10803
3.7063e+05,-1.7418e+05,0.065232,0.11485
3.7166e+05,-1.748e+05,0.059157,0.12107
3.711e+05,-1.7455e+05,0.052811,0.12667
3.6894e+05,-1.734e+05,0.04624,0.13163
